source,source_row,area,venue,note,original_name,cleaned_name,reason
商圈+标签,27,双安商城,小罐茶,茶叶品牌,夏日冷泡茶、品牌代金券,夏日冷泡茶,代表菜/对象名含券类词，已从网页推荐名称中剔除
商圈+标签,29,华宇购物中心,重八牛府之小刀牛试,重庆火锅,【儿时回忆】糖拌西瓜、100 元代金券,【儿时回忆】糖拌西瓜,代表菜/对象名含券类词，已从网页推荐名称中剔除
商圈+标签,30,华宇购物中心,原心・创意料理,日本料理,【工作日】黑松露虾套餐、100 元代金券,【工作日】黑松露虾套餐,代表菜/对象名含券类词，已从网页推荐名称中剔除
商圈+标签,33,华宇购物中心,老屋川菜・水煮鱼,川菜馆,招牌水煮鮰鱼双人餐、100 元代金券,招牌水煮鮰鱼双人餐,代表菜/对象名含券类词，已从网页推荐名称中剔除
商圈+标签,34,华宇购物中心,傣娇娇西双版纳烤肉,融合烤肉,版纳人气双人餐、100 元代金券,版纳人气双人餐,代表菜/对象名含券类词，已从网页推荐名称中剔除
商圈+标签,35,华宇购物中心,渝是乎酸菜鱼・川渝小炒,酸菜鱼 / 水煮鱼,无刺酸菜鱼 2-3 人餐、50 元代金券,无刺酸菜鱼 2-3 人餐,代表菜/对象名含券类词，已从网页推荐名称中剔除
商圈+标签,36,华宇购物中心,醉得意・山茶油炒土鸡,家常菜,蒸蛋、100 元代金券,蒸蛋,代表菜/对象名含券类词，已从网页推荐名称中剔除
商圈+标签,37,华宇购物中心,西贝,家常菜,【平台补贴】150 元代金券、招牌莜面套餐,招牌莜面套餐,代表菜/对象名含券类词，已从网页推荐名称中剔除
商圈+标签,38,华宇购物中心,七八冷面・延边朝鲜族美食,韩式料理,【单人】七八主食三选一、50 元代金券,【单人】七八主食三选一,代表菜/对象名含券类词，已从网页推荐名称中剔除
商圈+标签,39,华宇购物中心,云尊府云南菜,特色菜,【鲜花入菜】云南鲜花饼、100 元代金券,【鲜花入菜】云南鲜花饼,代表菜/对象名含券类词，已从网页推荐名称中剔除
